"","abbrv","actors","type","foreign","coalition","territory","terrcons","geospr","relgeoprs","milstrdiv","relmilstr","years","battles","grpfight","hostindex"
"50","AlMihTM","Al Mihdhar Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"22","AlGhanTM","Al Ghanam Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"108","ITM","Imran Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"61","AlSaiTM","Al Said Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,2,2,2,1
"143","SufTM","Sufyan Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"103","HBSR","Hazm Brigades Southern Resistance",2,1,0,1,0,2,0.118,10.5,0.018,2,21,21,1
"39","AlLaqTM","Al Laqmush Tribal Militia",4,0,0,0,0,1,0.059,7,0.012,1,7,1,0.143
"28","AlHujTM","Al Hujayra Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"144","SaRB","Support and Reinforcement Brigades",2,1,0,0,0,3,0.176,4.333,0.007,1,13,12,0.923
"9","AAbTCM","Al Ahmad bin Talib Clan Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"74","ASCTMIF","As Sawraqi Clan Tribal Militia  Islam Faction",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"131","SaB","Saiqa Brigades",2,1,0,0,0,3,0.176,7,0.012,2,21,15,0.714
"12","AANTM","Al An Najjar Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"64","AlShanTM","Al Shanan Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,2,2,2,1
"36","AlJuTM","Al Juayd Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"89","BaaSTM","Bayt as Sanhani Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"90","BaTTM","Bayt at Tahiri Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"76","AshSCM","Ash Sharabi Communal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"126","RaTM","Rabiz Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"135","SICM","Shaykh Ishaq Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"42","AlMahCM","Al Mahariq Communal Militia",4,0,0,0,0,1,0.059,19,0.033,2,19,19,1
"151","YTM","Yafi Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"77","AsB","Asifah Brigade",2,1,0,0,0,1,0.059,6,0.01,1,6,6,1
"13","AlAnbTM","Al Anbal Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,2,2,2,1
"6","AlAbduTM","Al Abdulaziz Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"66","AlSumTM","Al Sumaytah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"62","AlSaqTM","Al Saqqaf Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"2","AdDTM","Ad Dawlah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"53","AlMuaTM","Al Muaili Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"67","ATTM","Al Tilan Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"26","AlHayTM","Al Hayash Tribal Militia",4,0,0,1,1,1,0.059,4,0.007,1,4,4,1
"83","BaniAlTM","Bani Ali Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"44","AlMajTM","Al Majalli Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"87","BYTM","Bani Youb Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"5","AlAbdaTM","Al Abdat Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"98","GotR","Guardians of the Republic",3,1,0,1,0,1,0.059,178,0.307,3,178,176,0.989
"8","AACM","Al Abyadh Communal Militia",4,0,0,1,1,2,0.118,1.5,0.003,1,3,2,0.667
"14","AlAnsTM","Al Ansi Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"16","AlAsaTM","Al Asabih Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"23","AlGharTM","Al Gharayb Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"24","AlHasTM","Al Hassana Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"27","AlHudTM","Al Hudaylan Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,0,0
"30","AlHurTM","Al Hurayz Tribal Militia",4,0,0,0,0,1,0.059,4,0.007,1,4,0,0
"32","AITM","Al Idris Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"37","AlKaTM","Al Kathir Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"38","AKCM","Al Khiyami Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"43","AlMahrTM","Al Mahri Tribal Militia",4,0,0,0,0,1,0.059,4,0.007,1,4,1,0.25
"47","AMTG","Al Marqishi Tribal Group",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"49","AlMasCM","Al Masnaa Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"52","AlMisTM","Al Mishaal Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"55","AlMuCM","Al Mutawakkil Clan Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
